date,val
28-08-13,40.55
29-08-13,41.28
30-08-13,41.29
03-09-13,41.87
04-09-13,41.78
05-09-13,42.66
06-09-13,43.95
09-09-13,44.04
10-09-13,43.6
11-09-13,45.04
12-09-13,44.75
13-09-13,44.31
16-09-13,42.51
17-09-13,45.07
18-09-13,45.23
19-09-13,45.98
20-09-13,47.49
23-09-13,47.19
24-09-13,48.45
25-09-13,49.46
26-09-13,50.39
27-09-13,51.24
30-09-13,50.23
01-10-13,50.42
02-10-13,50.28
03-10-13,49.18
04-10-13,51.04
07-10-13,50.52
08-10-13,47.14
09-10-13,46.77
10-10-13,49.05
11-10-13,49.11
14-10-13,49.51
15-10-13,49.5
16-10-13,51.14
17-10-13,52.21
18-10-13,54.22
21-10-13,53.85
22-10-13,52.68
23-10-13,51.9
24-10-13,52.44
25-10-13,51.95
28-10-13,50.23
29-10-13,49.4
30-10-13,49.01
31-10-13,50.2
01-11-13,49.75
04-11-13,48.22
05-11-13,50.1
06-11-13,49.12
07-11-13,47.56
08-11-13,47.53
11-11-13,46.2
12-11-13,46.6
13-11-13,48.71
14-11-13,48.99
15-11-13,49.01
18-11-13,45.83
19-11-13,46.36
20-11-13,46.43
21-11-13,46.7
22-11-13,46.23
25-11-13,44.82
26-11-13,45.89
27-11-13,46.49
29-11-13,47.01
02-12-13,47.06
03-12-13,46.73
04-12-13,48.62
05-12-13,48.34
06-12-13,47.94
09-12-13,48.84
10-12-13,50.24
11-12-13,49.38
12-12-13,51.83
13-12-13,53.32
16-12-13,53.81
17-12-13,54.86
18-12-13,55.57
19-12-13,55.05
20-12-13,55.12
23-12-13,57.77
24-12-13,57.96
26-12-13,57.73
27-12-13,55.44
30-12-13,53.71
31-12-13,54.65
02-01-14,54.71
03-01-14,54.56
06-01-14,57.2
07-01-14,57.92
08-01-14,58.23
09-01-14,57.22
10-01-14,57.94
13-01-14,55.91
14-01-14,57.74
15-01-14,57.6
16-01-14,57.19
17-01-14,56.3
21-01-14,58.51
22-01-14,57.51
23-01-14,56.63
24-01-14,54.45
27-01-14,53.55
28-01-14,55.14
29-01-14,53.53
30-01-14,61.08
31-01-14,62.57
03-02-14,61.48
04-02-14,62.75
05-02-14,62.19
06-02-14,62.16
07-02-14,64.32
10-02-14,63.55
11-02-14,64.85
12-02-14,64.45
13-02-14,67.33
14-02-14,67.09
18-02-14,67.3
19-02-14,68.06
20-02-14,69.63
21-02-14,68.59
24-02-14,70.78
25-02-14,69.85
26-02-14,69.26
27-02-14,68.94
28-02-14,68.46
03-03-14,67.41
04-03-14,68.8
05-03-14,71.57
06-03-14,70.84
07-03-14,69.8
10-03-14,72.03
11-03-14,70.1
12-03-14,70.88
13-03-14,68.83
14-03-14,67.72
17-03-14,68.74
18-03-14,69.19
19-03-14,68.24
20-03-14,66.97
21-03-14,67.24
24-03-14,64.1
25-03-14,64.89
26-03-14,60.38
27-03-14,60.97
28-03-14,60.01
31-03-14,60.24
01-04-14,62.62
02-04-14,62.72
03-04-14,59.49
04-04-14,56.75
07-04-14,56.95
08-04-14,58.19
09-04-14,62.41
10-04-14,59.16
11-04-14,58.53
14-04-14,58.89
15-04-14,59.09
16-04-14,59.72
17-04-14,58.94
21-04-14,61.24
22-04-14,63.03
23-04-14,61.36
24-04-14,60.87
